FP1,FP2,PG1,PG2,F7,F3,F2,F4,F8,C3,C2,C4,P3,P4,P2,T3,T4,T5,T6,O1,OZ,O2,ECG
110,115,86,132,95,125,44,117,102,103,102,91,52,78,106,98,89,47,111,64,101,68,-204
116,123,94,133,103,123,56,111,114,124,109,91,54,85,116,102,93,51,114,65,99,83,-209
113,125,90,126,103,112,63,101,112,138,109,87,55,84,116,95,92,49,110,58,94,93,-208
102,119,76,110,94,93,62,86,97,140,100,78,53,76,105,76,82,37,100,44,85,95,-204
90,107,57,88,81,70,57,68,77,130,86,70,47,65,87,51,63,20,82,26,76,89,-200
81,94,41,65,69,49,54,52,59,117,73,64,39,56,69,29,42,4,60,11,70,79,-189
74,81,32,47,57,30,57,39,41,102,61,59,32,50,57,15,25,-3,40,0,64,68,-172
63,64,26,32,42,12,62,27,20,83,51,49,24,43,48,9,16,-5,22,-7,54,55,-155
48,45,21,18,22,-4,62,14,-5,62,41,34,15,33,40,5,13,-4,4,-12,38,37,-147
29,23,12,5,0,-14,51,-4,-30,39,29,15,6,22,29,-1,14,-1,-12,-14,16,14,-150
8,0,-4,-7,-19,-18,31,-25,-53,15,11,-4,-2,8,13,-14,14,-1,-25,-14,-9,-12,-162
-11,-23,-21,-15,-31,-16,7,-40,-70,-8,-6,-17,-6,-4,-6,-31,11,-7,-34,-11,-34,-35,-181
-23,-38,-32,-13,-33,-7,-11,-43,-74,-25,-17,-19,-3,-14,-20,-42,9,-13,-36,-3,-49,-47,-201
-21,-37,-28,4,-24,14,-16,-27,-59,-28,-14,-9,11,-17,-23,-41,16,-10,-29,11,-47,-39,-212
-4,-16,-6,35,-3,43,-4,6,-28,-12,4,13,37,-12,-10,-23,38,4,-12,30,-27,-9,-209
22,16,28,71,23,72,19,47,9,16,31,38,68,1,13,6,70,24,14,53,6,33,-199
46,46,61,99,47,96,41,84,44,45,60,59,96,16,35,35,99,41,39,75,38,72,-198
62,67,83,112,66,116,56,105,73,67,84,70,113,31,50,57,118,51,60,90,63,98,-207
71,79,94,117,82,131,66,114,95,84,102,80,121,46,61,71,127,57,77,99,85,110,-208
73,82,98,115,94,138,75,117,108,95,115,89,121,57,69,78,129,58,89,100,101,113,-190
62,72,95,105,91,134,77,114,109,97,118,94,109,58,68,75,119,50,92,88,107,108,-169
43,52,84,89,76,123,73,105,102,89,110,92,87,47,58,64,98,36,82,65,102,99,-160
