Time,FP1
4.3984375,21
4.40234375,16
4.40625,8
4.41015625,-4
4.4140625,-15
4.41796875,-25
4.421875,-32
4.42578125,-35
4.4296875,-33
4.43359375,-28
4.4375,-21
4.44140625,-14
4.4453125,-10
4.44921875,-9
4.453125,-9
4.45703125,-12
4.4609375,-17
4.46484375,-24
4.46875,-29
4.47265625,-32
4.4765625,-32
4.48046875,-31
4.484375,-31
4.48828125,-32
4.4921875,-34
4.49609375,-35
4.5,-32
4.50390625,-26
4.5078125,-22
4.51171875,-21
4.515625,-22
4.51953125,-24
4.5234375,-27
4.52734375,-28
4.53125,-25
4.53515625,-23
4.5390625,-24
4.54296875,-25
4.546875,-23
4.55078125,-17
4.5546875,-12
4.55859375,-8
4.5625,-2
4.56640625,7
4.5703125,16
4.57421875,21
4.578125,23
4.58203125,23
4.5859375,18
4.58984375,7
4.59375,-10
4.59765625,-26
4.6015625,-41
4.60546875,-53
4.609375,-59
4.61328125,-57
4.6171875,-49
4.62109375,-42
4.625,-40
4.62890625,-38
4.6328125,-35
4.63671875,-29
4.640625,-23
4.64453125,-19
4.6484375,-15
4.65234375,-9
4.65625,-3
4.66015625,1
4.6640625,4
4.66796875,2
4.671875,-4
4.67578125,-7
4.6796875,0
4.68359375,15
4.6875,30
4.69140625,35
4.6953125,29
4.69921875,15
4.703125,-2
4.70703125,-17
4.7109375,-25
4.71484375,-28
4.71875,-30
4.72265625,-37
4.7265625,-45
4.73046875,-48
4.734375,-44
4.73828125,-33
4.7421875,-13
4.74609375,10
4.75,28
4.75390625,36
4.7578125,35
4.76171875,28
4.765625,18
4.76953125,8
4.7734375,1
4.77734375,-5
4.78125,-16
4.78515625,-33
4.7890625,-54
4.79296875,-71
4.796875,-81
4.80078125,-82
4.8046875,-72
4.80859375,-59
4.8125,-53
4.81640625,-59
4.8203125,-71
4.82421875,-80
4.828125,-77
4.83203125,-55
4.8359375,-19
4.83984375,20
4.84375,53
4.84765625,74
4.8515625,79
4.85546875,70
4.859375,52
4.86328125,28
4.8671875,0
4.87109375,-26
4.875,-44
4.87890625,-52
4.8828125,-51
4.88671875,-46
4.890625,-40
4.89453125,-37
4.8984375,-38
4.90234375,-41
4.90625,-40
4.91015625,-33
4.9140625,-22
4.91796875,-12
4.921875,0
4.92578125,14
4.9296875,28
4.93359375,39
4.9375,52
4.94140625,61
4.9453125,62
4.94921875,52
4.953125,36
4.95703125,21
4.9609375,8
4.96484375,-4
4.96875,-12
4.97265625,-16
4.9765625,-23
4.98046875,-34
4.984375,-46
4.98828125,-53
4.9921875,-56
4.99609375,-49
5.0,-34
5.00390625,-14
5.0078125,5
5.01171875,19
5.015625,28
5.01953125,33
5.0234375,34
5.02734375,34
5.03125,32
5.03515625,25
5.0390625,14
5.04296875,2
5.046875,-5
5.05078125,-6
5.0546875,-2
5.05859375,4
5.0625,5
5.06640625,3
5.0703125,-3
5.07421875,-10
5.078125,-17
5.08203125,-20
5.0859375,-16
5.08984375,-9
5.09375,-5
5.09765625,-2
5.1015625,1
5.10546875,0
5.109375,-7
5.11328125,-19
5.1171875,-29
5.12109375,-35
5.125,-36
5.12890625,-32
5.1328125,-25
5.13671875,-21
5.140625,-25
5.14453125,-36
5.1484375,-44
5.15234375,-42
5.15625,-33
5.16015625,-23
5.1640625,-16
5.16796875,-15
5.171875,-19
5.17578125,-23
5.1796875,-21
5.18359375,-11
5.1875,1
5.19140625,11
5.1953125,13
5.19921875,10
5.203125,2
5.20703125,-6
5.2109375,-13
5.21484375,-16
5.21875,-14
5.22265625,-8
5.2265625,-2
5.23046875,0
5.234375,-1
5.23828125,-5
5.2421875,-11
5.24609375,-17
5.25,-21
5.25390625,-21
5.2578125,-16
5.26171875,-7
5.265625,4
5.26953125,15
5.2734375,22
5.27734375,22
5.28125,19
5.28515625,14
5.2890625,8
5.29296875,0
5.296875,-6
5.30078125,-7
5.3046875,-4
5.30859375,2
5.3125,10
5.31640625,18
5.3203125,22
5.32421875,23
5.328125,26
5.33203125,32
5.3359375,38
5.33984375,39
5.34375,38
5.34765625,35
5.3515625,32
5.35546875,30
5.359375,33
5.36328125,38
5.3671875,40
5.37109375,42
5.375,47
5.37890625,52
5.3828125,53
5.38671875,48
5.390625,36
5.39453125,18
5.3984375,1
5.40234375,-11
5.40625,-17
5.41015625,-17
5.4140625,-14
5.41796875,-9
5.421875,-5
5.42578125,-3
5.4296875,0
5.43359375,6
5.4375,15
5.44140625,28
5.4453125,42
5.44921875,49
5.453125,48
5.45703125,42
5.4609375,35
5.46484375,28
5.46875,20
5.47265625,12
5.4765625,3
5.48046875,-6
5.484375,-15
5.48828125,-17
5.4921875,-14
5.49609375,-12
5.5,-18
5.50390625,-30
5.5078125,-42
5.51171875,-48
5.515625,-50
5.51953125,-49
5.5234375,-45
5.52734375,-40
5.53125,-35
5.53515625,-26
5.5390625,-11
5.54296875,9
5.546875,28
5.55078125,44
5.5546875,57
5.55859375,65
5.5625,67
5.56640625,62
5.5703125,50
5.57421875,35
5.578125,19
5.58203125,4
5.5859375,-6
5.58984375,-10
5.59375,-11
5.59765625,-11
5.6015625,-7
5.60546875,-1
5.609375,7
5.61328125,16
5.6171875,22
5.62109375,27
5.625,31
5.62890625,38
5.6328125,45
5.63671875,50
5.640625,49
5.64453125,42
5.6484375,33
5.65234375,21
5.65625,11
5.66015625,3
5.6640625,-3
5.66796875,-12
5.671875,-21
5.67578125,-27
5.6796875,-28
5.68359375,-26
5.6875,-23
5.69140625,-21
5.6953125,-21
5.69921875,-19
5.703125,-11
5.70703125,3
5.7109375,17
5.71484375,22
5.71875,13
5.72265625,-7
5.7265625,-27
5.73046875,-35
5.734375,-28
5.73828125,-16
5.7421875,-10
5.74609375,-14
5.75,-26
5.75390625,-45
5.7578125,-62
5.76171875,-71
5.765625,-70
5.76953125,-65
5.7734375,-58
5.77734375,-48
5.78125,-33
5.78515625,-17
5.7890625,-3
5.79296875,7
5.796875,10
5.80078125,9
5.8046875,7
5.80859375,6
5.8125,6
5.81640625,7
5.8203125,10
5.82421875,13
5.828125,12
5.83203125,3
5.8359375,-14
5.83984375,-34
5.84375,-55
5.84765625,-72
