FP1,FP2,PG1,PG2,F7,F3,F2,F4,F8,C3,C2,C4,P3,P4,P2,T3,T4,T5,T6,O1,OZ,O2,ECG
21,25,34,33,-7,43,-10,22,-4,17,10,32,28,30,32,39,48,32,32,31,16,-14,-405
24,31,20,42,6,53,1,35,12,29,2,25,28,32,38,46,39,33,38,39,20,5,-388
24,35,10,48,17,61,13,44,33,37,-6,17,32,34,39,49,26,35,37,43,26,25,-381
20,34,4,49,24,61,22,48,50,38,-11,8,36,30,34,46,11,35,30,39,33,40,-380
14,28,1,45,29,55,26,51,60,35,-12,1,38,23,27,40,-3,29,21,28,39,46,-381
11,23,0,39,34,46,27,54,65,32,-9,1,36,16,21,36,-14,20,15,17,46,46,-375
14,22,2,37,40,41,28,54,65,33,-4,8,32,13,20,36,-23,14,14,10,53,48,-359
20,22,4,36,45,38,28,49,59,35,-2,21,25,15,21,34,-31,11,15,5,58,54,-334
24,20,5,33,48,33,27,38,50,31,-4,32,15,16,21,31,-40,10,16,-1,58,62,-306
25,14,4,24,49,24,28,25,43,19,-6,37,5,15,16,27,-47,7,14,-9,53,68,-281
23,5,2,8,46,11,30,10,36,1,-8,34,-2,11,7,21,-50,-1,11,-19,44,70,-263
16,-6,-2,-12,39,-5,29,-3,27,-19,-11,27,-6,2,-8,12,-50,-11,5,-33,32,67,-252
8,-17,-8,-31,31,-20,23,-11,17,-32,-16,22,-7,-10,-22,2,-49,-24,-3,-46,18,60,-247
0,-26,-16,-46,23,-31,12,-16,9,-37,-21,21,-4,-21,-32,-7,-49,-35,-10,-53,5,52,-246
-8,-32,-23,-53,13,-35,0,-17,2,-35,-25,21,2,-27,-35,-17,-48,-39,-19,-51,-6,47,-243
-16,-34,-27,-52,0,-33,-13,-16,-4,-31,-26,22,9,-27,-32,-26,-44,-34,-25,-44,-16,42,-236
-24,-35,-30,-52,-14,-30,-28,-13,-7,-32,-23,22,14,-23,-27,-35,-37,-24,-28,-37,-24,33,-227
-30,-32,-31,-54,-26,-26,-39,-8,-9,-37,-14,21,18,-18,-22,-43,-23,-14,-22,-27,-28,20,-218
-28,-22,-26,-52,-30,-16,-43,1,-8,-38,1,23,25,-8,-15,-46,0,-2,-6,-11,-21,9,-209
-17,-5,-15,-41,-23,-1,-39,12,-3,-31,18,31,40,6,-6,-40,29,19,17,10,-4,7,-199
-1,12,-2,-24,-11,16,-33,22,4,-17,26,43,59,21,2,-28,55,44,39,31,15,9,-188
9,22,8,-5,0,27,-29,26,7,-6,23,50,72,30,7,-14,71,67,52,48,28,11,-182
10,24,14,12,8,30,-26,27,5,-1,13,48,73,31,9,1,77,83,56,59,33,12,-181
5,19,15,24,15,28,-23,27,1,-4,1,35,60,24,7,14,74,89,51,63,31,10,-182
-4,10,11,26,21,23,-18,26,-2,-10,-7,18,37,12,6,24,65,82,46,60,27,5,-180
-12,1,4,22,28,19,-12,28,-2,-16,-9,4,13,-1,6,33,53,66,47,57,26,-1,-173
-16,-6,-2,15,35,16,-3,33,3,-18,-6,-5,-2,-11,9,42,40,47,54,58,31,-4,-166
-17,-11,-9,7,40,13,6,36,12,-18,-3,-11,-6,-19,11,50,26,29,59,58,40,-4,-156
