FP1,FP2,PG1,PG2,F7,F3,F2,F4,F8,C3,C2,C4,P3,P4,P2,T3,T4,T5,T6,O1,OZ,O2,ECG
-13,-12,-36,-11,-66,-51,-135,-106,-140,-18,-34,-82,-123,-17,-11,-11,-22,-24,-62,-38,-72,-93,-153
-5,-4,-28,-3,-55,-39,-123,-92,-130,-13,-26,-72,-122,-12,-5,-9,-18,-24,-59,-41,-71,-94,-256
2,3,-17,6,-41,-23,-106,-73,-113,-6,-15,-57,-115,-6,1,-7,-13,-22,-52,-43,-66,-90,-343
10,10,-5,18,-25,-3,-84,-49,-91,3,-1,-38,-103,0,8,-5,-7,-20,-41,-42,-58,-81,-415
17,17,9,33,-6,20,-58,-22,-64,16,17,-14,-86,8,15,-1,2,-17,-26,-39,-47,-67,-475
25,23,25,50,14,46,-29,7,-36,30,37,11,-65,16,22,4,12,-14,-9,-32,-34,-49,-524
32,30,39,66,35,71,1,35,-7,46,56,36,-41,25,28,9,24,-9,7,-24,-19,-29,-563
39,36,53,80,56,92,31,61,20,59,73,57,-17,32,33,14,34,-4,22,-13,-4,-7,-595
45,42,66,89,73,107,58,83,45,68,83,73,6,37,38,17,41,1,32,0,10,14,-621
50,46,76,93,87,115,81,100,66,72,86,83,26,40,41,17,44,5,39,12,21,34,-642
54,49,84,92,97,117,99,111,84,70,83,88,43,40,43,16,45,8,41,24,30,50,-658
56,50,88,86,102,114,112,118,98,63,77,90,57,37,42,14,42,11,43,34,37,64,-670
54,46,87,76,101,107,120,119,108,53,68,90,67,31,37,11,35,13,43,41,43,73,-677
47,40,81,64,95,96,121,116,114,43,60,88,74,24,30,7,27,13,42,43,47,79,-676
39,32,70,52,85,84,117,109,117,33,52,85,79,17,23,4,20,13,41,42,49,81,-667
30,26,56,40,72,71,108,98,115,26,45,80,80,12,16,3,14,11,40,36,48,80,-651
23,22,44,33,59,58,95,86,110,23,39,73,78,8,13,4,13,9,39,29,45,77,-632
20,21,35,29,48,46,81,72,101,23,34,64,74,8,13,7,15,6,36,20,40,71,-612
20,24,31,30,40,36,68,58,91,27,30,53,66,11,16,12,22,4,34,11,33,65,-594
23,28,29,31,34,28,55,45,78,32,25,41,57,16,21,18,30,3,32,3,26,58,-579
28,32,29,33,30,21,42,31,64,36,20,29,46,21,25,24,38,3,31,-2,20,50,-567
32,35,29,33,24,15,28,17,48,38,17,19,34,25,29,28,42,5,31,-4,16,42,-557
35,37,28,31,18,9,12,4,30,39,14,11,23,28,31,31,43,8,31,-3,14,33,-547
36,38,24,28,10,5,-5,-8,11,38,13,6,11,29,32,32,41,10,31,-2,13,24,-537
35,37,20,23,1,1,-22,-18,-7,36,12,3,0,28,31,31,36,12,32,-1,12,14,-527
31,35,15,18,-6,-1,-34,-25,-22,34,11,4,-11,27,29,30,30,14,32,-2,12,5,-517
27,33,11,14,-9,-2,-41,-27,-30,31,11,6,-19,25,26,28,25,14,31,-3,12,-3,-503
23,31,9,11,-8,1,-41,-24,-32,30,11,10,-25,24,24,26,23,13,30,-5,12,-7,-490
20,30,9,9,-5,5,-35,-19,-29,30,13,15,-28,23,23,25,23,12,29,-6,12,-9,-480
18,28,9,9,0,10,-27,-12,-24,32,17,19,-28,24,22,25,25,11,29,-6,11,-10,-469
17,27,10,11,5,16,-18,-6,-18,35,22,23,-27,24,23,24,28,10,29,-4,11,-9,-456
