Time,O2
6.80078125,-38
6.8046875,-26
6.80859375,-10
6.8125,3
6.81640625,15
6.8203125,24
6.82421875,27
6.828125,22
6.83203125,14
6.8359375,10
6.83984375,12
6.84375,20
6.84765625,33
6.8515625,49
6.85546875,65
6.859375,79
6.86328125,89
6.8671875,91
6.87109375,85
6.875,74
6.87890625,57
6.8828125,35
6.88671875,12
6.890625,-6
6.89453125,-16
6.8984375,-14
6.90234375,-1
6.90625,22
6.91015625,51
6.9140625,81
6.91796875,104
6.921875,118
6.92578125,121
6.9296875,118
6.93359375,112
6.9375,108
6.94140625,110
6.9453125,117
6.94921875,124
6.953125,120
6.95703125,99
6.9609375,65
6.96484375,30
6.96875,4
6.97265625,-10
6.9765625,-15
6.98046875,-13
6.984375,-5
6.98828125,3
6.9921875,11
6.99609375,20
7.0,28
7.00390625,33
7.0078125,34
7.01171875,32
7.015625,32
7.01953125,36
7.0234375,41
7.02734375,45
7.03125,48
7.03515625,50
7.0390625,49
7.04296875,43
7.046875,31
7.05078125,13
7.0546875,-8
7.05859375,-23
7.0625,-26
7.06640625,-20
7.0703125,-11
7.07421875,-2
7.078125,6
7.08203125,12
7.0859375,18
7.08984375,26
7.09375,35
7.09765625,42
7.1015625,44
7.10546875,39
7.109375,32
7.11328125,29
7.1171875,27
7.12109375,26
7.125,24
7.12890625,23
7.1328125,19
7.13671875,16
7.140625,15
7.14453125,16
7.1484375,22
7.15234375,31
7.15625,40
7.16015625,45
7.1640625,48
7.16796875,53
7.171875,61
7.17578125,71
7.1796875,80
7.18359375,83
7.1875,76
7.19140625,59
7.1953125,41
7.19921875,29
7.203125,26
7.20703125,27
7.2109375,29
7.21484375,31
7.21875,33
7.22265625,34
7.2265625,38
7.23046875,43
7.234375,48
7.23828125,49
7.2421875,44
7.24609375,34
7.25,23
7.25390625,16
7.2578125,15
7.26171875,20
7.265625,29
7.26953125,39
7.2734375,43
7.27734375,35
7.28125,19
7.28515625,0
7.2890625,-17
7.29296875,-28
7.296875,-33
7.30078125,-31
7.3046875,-24
7.30859375,-16
7.3125,-11
7.31640625,-11
7.3203125,-11
7.32421875,-9
7.328125,-5
7.33203125,-2
7.3359375,-1
7.33984375,-1
7.34375,0
7.34765625,-2
7.3515625,-5
7.35546875,-4
7.359375,3
7.36328125,10
7.3671875,15
7.37109375,12
7.375,2
7.37890625,-16
7.3828125,-39
7.38671875,-62
7.390625,-75
7.39453125,-71
7.3984375,-55
7.40234375,-35
7.40625,-17
7.41015625,1
7.4140625,19
7.41796875,33
7.421875,39
7.42578125,37
7.4296875,32
7.43359375,26
7.4375,19
7.44140625,7
7.4453125,-5
7.44921875,-14
7.453125,-20
7.45703125,-23
7.4609375,-22
7.46484375,-17
7.46875,-15
7.47265625,-20
7.4765625,-32
7.48046875,-46
7.484375,-53
7.48828125,-52
7.4921875,-45
7.49609375,-36
7.5,-29
7.50390625,-21
7.5078125,-10
7.51171875,4
7.515625,21
7.51953125,41
7.5234375,59
7.52734375,63
7.53125,48
