Time,OZ
3.67578125,53
3.6796875,56
3.68359375,52
3.6875,47
3.69140625,44
3.6953125,40
3.69921875,35
3.703125,25
3.70703125,7
3.7109375,-16
3.71484375,-41
3.71875,-64
3.72265625,-80
3.7265625,-88
3.73046875,-86
3.734375,-74
3.73828125,-51
3.7421875,-24
3.74609375,3
3.75,24
3.75390625,35
3.7578125,35
3.76171875,27
3.765625,12
3.76953125,-4
3.7734375,-22
3.77734375,-39
3.78125,-51
3.78515625,-58
3.7890625,-59
3.79296875,-56
3.796875,-50
3.80078125,-43
3.8046875,-41
3.80859375,-45
3.8125,-51
3.81640625,-55
3.8203125,-55
3.82421875,-49
3.828125,-38
3.83203125,-24
3.8359375,-12
3.83984375,-7
3.84375,-8
3.84765625,-7
3.8515625,0
3.85546875,9
3.859375,18
3.86328125,26
3.8671875,28
3.87109375,21
3.875,11
3.87890625,2
3.8828125,-4
3.88671875,-13
3.890625,-24
3.89453125,-35
3.8984375,-42
3.90234375,-41
3.90625,-30
3.91015625,-14
3.9140625,2
3.91796875,14
3.921875,18
3.92578125,16
3.9296875,14
3.93359375,19
3.9375,29
3.94140625,39
3.9453125,44
3.94921875,41
3.953125,27
3.95703125,6
3.9609375,-13
3.96484375,-26
3.96875,-33
3.97265625,-36
3.9765625,-34
3.98046875,-29
3.984375,-21
3.98828125,-13
3.9921875,-4
3.99609375,2
4.0,-2
4.00390625,-13
4.0078125,-23
4.01171875,-25
4.015625,-18
4.01953125,-4
4.0234375,12
4.02734375,25
4.03125,30
4.03515625,27
4.0390625,25
4.04296875,28
4.046875,33
4.05078125,34
4.0546875,28
4.05859375,14
4.0625,-6
4.06640625,-26
4.0703125,-39
4.07421875,-46
4.078125,-47
4.08203125,-44
4.0859375,-36
4.08984375,-27
4.09375,-15
4.09765625,3
4.1015625,25
4.10546875,46
4.109375,62
4.11328125,75
4.1171875,85
4.12109375,88
4.125,87
4.12890625,83
4.1328125,76
4.13671875,59
4.140625,33
4.14453125,8
4.1484375,-10
4.15234375,-24
4.15625,-38
4.16015625,-49
4.1640625,-57
4.16796875,-63
4.171875,-64
4.17578125,-52
4.1796875,-30
4.18359375,-9
4.1875,3
4.19140625,6
4.1953125,3
4.19921875,2
4.203125,4
4.20703125,10
4.2109375,17
4.21484375,20
4.21875,15
4.22265625,4
4.2265625,-9
4.23046875,-22
4.234375,-36
4.23828125,-51
4.2421875,-64
4.24609375,-73
4.25,-79
4.25390625,-77
4.2578125,-66
4.26171875,-47
4.265625,-24
4.26953125,-3
4.2734375,14
4.27734375,26
4.28125,33
4.28515625,32
4.2890625,29
4.29296875,29
4.296875,35
4.30078125,41
4.3046875,42
4.30859375,38
4.3125,30
4.31640625,15
4.3203125,-3
4.32421875,-16
4.328125,-21
4.33203125,-25
4.3359375,-35
4.33984375,-47
4.34375,-51
4.34765625,-47
4.3515625,-36
4.35546875,-19
4.359375,2
4.36328125,19
4.3671875,26
4.37109375,30
4.375,37
4.37890625,45
4.3828125,50
4.38671875,48
4.390625,38
4.39453125,21
4.3984375,3
4.40234375,-11
4.40625,-15
4.41015625,-10
4.4140625,0
4.41796875,10
4.421875,15
4.42578125,15
4.4296875,9
4.43359375,3
4.4375,4
4.44140625,14
4.4453125,28
4.44921875,44
4.453125,60
4.45703125,71
4.4609375,78
4.46484375,82
4.46875,85
4.47265625,84
4.4765625,78
4.48046875,69
4.484375,58
4.48828125,44
4.4921875,26
4.49609375,5
4.5,-16
4.50390625,-30
4.5078125,-31
4.51171875,-19
4.515625,-3
4.51953125,9
4.5234375,10
4.52734375,5
4.53125,0
4.53515625,6
4.5390625,27
4.54296875,56
4.546875,78
4.55078125,83
4.5546875,70
4.55859375,47
4.5625,22
4.56640625,3
4.5703125,-5
4.57421875,-1
4.578125,7
4.58203125,11
4.5859375,6
4.58984375,-4
4.59375,-17
4.59765625,-32
4.6015625,-46
4.60546875,-54
4.609375,-53
4.61328125,-45
4.6171875,-31
4.62109375,-10
4.625,14
4.62890625,32
4.6328125,38
4.63671875,32
4.640625,20
4.64453125,7
4.6484375,-2
4.65234375,-6
4.65625,-2
4.66015625,3
4.6640625,4
4.66796875,0
4.671875,-4
4.67578125,-5
4.6796875,-3
4.68359375,-1
4.6875,2
4.69140625,1
4.6953125,-3
4.69921875,-7
4.703125,-4
4.70703125,8
4.7109375,24
4.71484375,39
4.71875,50
4.72265625,57
4.7265625,61
4.73046875,60
4.734375,57
4.73828125,54
4.7421875,49
4.74609375,42
4.75,37
4.75390625,35
4.7578125,33
4.76171875,26
4.765625,16
4.76953125,6
4.7734375,-5
4.77734375,-16
4.78125,-23
4.78515625,-24
4.7890625,-21
4.79296875,-15
4.796875,-12
4.80078125,-12
4.8046875,-17
4.80859375,-23
4.8125,-26
4.81640625,-19
4.8203125,-3
4.82421875,12
4.828125,20
4.83203125,22
4.8359375,24
4.83984375,25
4.84375,22
4.84765625,16
4.8515625,3
4.85546875,-17
4.859375,-37
4.86328125,-48
4.8671875,-47
4.87109375,-39
4.875,-28
4.87890625,-13
4.8828125,3
4.88671875,14
4.890625,16
4.89453125,10
4.8984375,-1
4.90234375,-13
4.90625,-24
4.91015625,-28
4.9140625,-26
4.91796875,-26
4.921875,-31
4.92578125,-37
4.9296875,-34
4.93359375,-27
4.9375,-22
4.94140625,-25
4.9453125,-33
4.94921875,-42
4.953125,-49
4.95703125,-48
4.9609375,-41
4.96484375,-33
4.96875,-32
4.97265625,-34
4.9765625,-34
4.98046875,-27
4.984375,-13
4.98828125,3
4.9921875,14
4.99609375,14
5.0,5
5.00390625,-7
5.0078125,-14
5.01171875,-14
5.015625,-9
5.01953125,-4
5.0234375,-5
5.02734375,-15
5.03125,-29
5.03515625,-39
5.0390625,-44
5.04296875,-43
5.046875,-40
5.05078125,-40
5.0546875,-47
5.05859375,-57
5.0625,-61
5.06640625,-52
5.0703125,-28
5.07421875,2
5.078125,33
5.08203125,53
5.0859375,53
5.08984375,34
5.09375,9
5.09765625,-9
5.1015625,-17
5.10546875,-18
5.109375,-15
5.11328125,-9
5.1171875,-8
5.12109375,-12
5.125,-18
5.12890625,-21
5.1328125,-20
5.13671875,-19
5.140625,-16
5.14453125,-13
5.1484375,-6
5.15234375,4
5.15625,17
5.16015625,33
5.1640625,50
5.16796875,61
5.171875,62
5.17578125,56
5.1796875,48
5.18359375,43
5.1875,39
5.19140625,34
5.1953125,25
5.19921875,9
5.203125,-15
5.20703125,-41
5.2109375,-62
5.21484375,-74
5.21875,-76
5.22265625,-69
5.2265625,-56
5.23046875,-42
5.234375,-33
5.23828125,-31
5.2421875,-36
5.24609375,-39
5.25,-32
5.25390625,-18
5.2578125,-3
5.26171875,10
5.265625,18
5.26953125,20
5.2734375,17
5.27734375,15
5.28125,17
5.28515625,20
5.2890625,18
5.29296875,11
5.296875,2
5.30078125,-7
5.3046875,-16
5.30859375,-26
5.3125,-29
5.31640625,-26
5.3203125,-19
5.32421875,-8
5.328125,5
5.33203125,17
5.3359375,22
5.33984375,21
5.34375,17
5.34765625,15
5.3515625,15
5.35546875,15
5.359375,9
5.36328125,-1
5.3671875,-11
5.37109375,-17
5.375,-18
5.37890625,-17
5.3828125,-14
5.38671875,-16
5.390625,-27
5.39453125,-40
5.3984375,-48
5.40234375,-49
5.40625,-50
5.41015625,-53
5.4140625,-56
5.41796875,-56
5.421875,-50
5.42578125,-37
5.4296875,-18
5.43359375,1
5.4375,13
5.44140625,18
5.4453125,19
5.44921875,17
5.453125,11
5.45703125,5
5.4609375,5
5.46484375,8
5.46875,12
5.47265625,17
5.4765625,20
5.48046875,16
5.484375,3
5.48828125,-13
5.4921875,-27
5.49609375,-37
5.5,-44
5.50390625,-46
5.5078125,-40
5.51171875,-26
5.515625,-10
5.51953125,4
5.5234375,13
5.52734375,17
5.53125,13
5.53515625,2
5.5390625,-9
5.54296875,-14
5.546875,-15
5.55078125,-16
5.5546875,-17
5.55859375,-18
5.5625,-20
5.56640625,-28
5.5703125,-39
5.57421875,-49
5.578125,-57
5.58203125,-67
5.5859375,-76
5.58984375,-79
5.59375,-71
5.59765625,-53
5.6015625,-29
