Time,C3
3.9140625,22
3.91796875,34
3.921875,35
3.92578125,29
3.9296875,22
3.93359375,17
3.9375,16
3.94140625,15
3.9453125,11
3.94921875,-1
3.953125,-18
3.95703125,-35
3.9609375,-48
3.96484375,-61
3.96875,-72
3.97265625,-80
3.9765625,-83
3.98046875,-84
3.984375,-82
3.98828125,-72
3.9921875,-53
3.99609375,-31
4.0,-17
4.00390625,-10
4.0078125,-5
4.01171875,5
4.015625,20
4.01953125,37
4.0234375,52
4.02734375,54
4.03125,38
4.03515625,6
4.0390625,-27
4.04296875,-48
4.046875,-54
4.05078125,-48
4.0546875,-37
4.05859375,-28
4.0625,-23
4.06640625,-23
4.0703125,-25
4.07421875,-23
4.078125,-13
4.08203125,4
4.0859375,23
4.08984375,40
4.09375,50
4.09765625,51
4.1015625,46
4.10546875,38
4.109375,26
4.11328125,14
4.1171875,3
4.12109375,-2
4.125,3
4.12890625,18
4.1328125,37
4.13671875,50
4.140625,50
4.14453125,34
4.1484375,11
4.15234375,-9
4.15625,-15
4.16015625,-11
4.1640625,-4
4.16796875,1
4.171875,3
4.17578125,3
4.1796875,3
4.18359375,7
4.1875,18
4.19140625,33
4.1953125,48
4.19921875,57
4.203125,58
4.20703125,50
4.2109375,35
4.21484375,17
4.21875,2
4.22265625,-3
4.2265625,2
4.23046875,15
4.234375,36
4.23828125,62
4.2421875,84
4.24609375,95
4.25,96
4.25390625,90
4.2578125,81
4.26171875,72
4.265625,71
4.26953125,75
4.2734375,77
4.27734375,70
4.28125,55
4.28515625,35
4.2890625,15
4.29296875,-3
4.296875,-19
4.30078125,-24
4.3046875,-15
4.30859375,3
4.3125,22
4.31640625,37
4.3203125,44
4.32421875,40
4.328125,26
4.33203125,9
4.3359375,-3
4.33984375,-4
4.34375,7
4.34765625,28
4.3515625,57
4.35546875,85
4.359375,103
4.36328125,106
4.3671875,96
4.37109375,77
4.375,57
4.37890625,41
4.3828125,31
4.38671875,25
4.390625,26
4.39453125,27
4.3984375,24
4.40234375,18
4.40625,11
4.41015625,6
4.4140625,0
4.41796875,-4
4.421875,-8
4.42578125,-16
4.4296875,-33
4.43359375,-51
4.4375,-60
4.44140625,-52
4.4453125,-32
4.44921875,-6
4.453125,20
4.45703125,37
4.4609375,38
4.46484375,23
4.46875,0
4.47265625,-23
4.4765625,-41
4.48046875,-53
4.484375,-57
4.48828125,-52
4.4921875,-45
4.49609375,-40
4.5,-43
4.50390625,-48
4.5078125,-51
4.51171875,-55
4.515625,-60
4.51953125,-68
4.5234375,-78
4.52734375,-90
4.53125,-101
4.53515625,-102
4.5390625,-91
4.54296875,-69
4.546875,-46
4.55078125,-26
4.5546875,-13
4.55859375,-10
4.5625,-16
4.56640625,-27
4.5703125,-39
4.57421875,-51
4.578125,-58
4.58203125,-58
4.5859375,-51
